net	clearing file [/home/kacper/ghrepo/reversi/BATCH]
batch	batch train : cycles count [1000]
1,52,0,0,0,0,0,0,0,0,74
2,55,0,0,0,0,0,0,0,0,69
3,51,0,0,0,0,0,0,0,0,69
4,58,0,0,0,0,0,0,0,0,68
5,50,0,0,0,0,0,0,0,0,71
6,58,0,0,0,0,0,0,0,0,63
7,52,0,0,0,0,0,0,0,0,69
8,51,0,0,0,0,0,0,0,0,65
9,56,0,0,0,0,0,0,0,0,74
10,56,0,0,0,0,0,0,0,0,71
11,54,0,0,0,0,0,0,0,0,71
12,65,0,0,0,0,0,0,0,0,67
13,60,0,0,0,0,0,0,0,0,66
14,52,0,0,0,0,0,0,0,0,65
15,59,0,0,0,0,0,0,0,0,69
16,56,0,0,0,0,0,0,0,0,72
17,62,0,0,0,0,0,0,0,0,73
18,59,0,0,0,0,0,0,0,0,72
19,62,0,0,0,0,0,0,0,0,71
20,67,0,0,0,0,0,0,0,0,67
21,61,0,0,0,0,0,0,0,0,69
22,65,0,0,0,0,0,0,0,0,68
23,63,0,0,0,0,0,0,0,0,71
24,74,0,0,0,0,0,0,0,0,69
25,64,0,0,0,0,0,0,0,0,63
26,66,0,0,0,0,0,0,0,0,63
27,53,0,0,0,0,0,0,0,0,70
28,56,0,0,0,0,0,0,0,0,68
29,68,0,0,0,0,0,0,0,2,67
30,67,0,0,0,0,0,0,0,7,64
31,64,0,0,0,0,0,0,0,2,65
32,66,0,0,0,0,0,0,0,17,67
33,65,0,0,0,0,0,0,0,36,68
34,67,0,0,0,0,0,0,0,75,64
35,63,0,0,0,0,0,0,0,82,66
36,65,0,0,0,0,0,0,0,40,70
37,67,0,0,0,0,0,0,4,49,69
38,75,0,0,0,0,0,0,17,98,68
39,72,0,0,0,0,0,0,6,25,77
40,71,0,0,0,0,0,0,46,28,72
41,83,0,0,0,0,0,0,90,93,73
42,66,0,0,0,0,0,0,69,90,68
43,63,0,0,0,0,0,0,47,60,72
44,71,0,0,0,0,0,1,10,42,66
45,72,0,0,0,0,0,1,97,98,68
46,66,0,0,0,0,0,26,95,99,64
47,72,0,0,0,0,0,53,84,89,68
48,67,0,0,0,0,0,71,99,100,70
49,75,0,0,0,0,0,29,73,97,70
50,79,0,0,0,0,0,18,39,73,70
51,70,0,0,0,0,0,22,21,89,69
52,77,0,0,0,0,0,23,78,94,71
53,76,0,0,0,0,0,93,94,99,68
54,76,0,0,0,0,0,87,96,99,67
55,75,0,0,0,0,0,13,12,65,64
56,76,0,0,0,0,0,85,96,99,69
57,78,0,0,0,0,0,25,79,89,65
58,74,0,0,0,0,0,15,7,8,66
59,75,0,0,0,0,0,75,90,99,65
60,70,0,0,0,0,0,58,97,97,64
61,76,0,0,0,0,0,68,81,91,64
62,74,0,0,0,0,0,41,40,66,66
63,76,0,0,0,0,0,91,99,99,71
64,68,0,0,0,0,0,97,93,99,64
65,78,0,0,0,0,0,23,77,71,70
66,75,0,0,0,0,0,86,95,99,64
67,77,0,0,0,0,0,41,93,99,66
68,79,0,0,0,0,0,38,59,75,67
69,70,0,0,0,0,0,88,96,97,74
70,77,0,0,0,0,0,7,14,79,70
71,74,0,0,0,0,0,77,88,99,71
72,67,0,0,0,0,0,70,85,99,62
73,75,0,0,0,0,0,61,96,99,67
74,70,0,0,0,0,0,54,44,84,66
75,78,0,0,0,0,0,94,79,94,63
76,78,0,0,0,0,0,61,67,72,71
77,80,0,0,0,0,0,90,97,99,69
78,75,0,0,0,0,0,34,85,93,68
79,81,0,0,0,0,0,78,96,99,66
80,76,0,0,0,0,0,81,78,96,74
81,80,0,0,0,0,0,3,42,69,71
82,76,0,0,0,0,0,38,10,6,64
83,79,0,0,0,0,0,8,10,28,71
84,87,0,0,0,0,0,42,90,98,68
85,77,0,0,0,0,0,8,10,37,62
86,79,0,0,0,0,0,87,97,99,65
87,74,0,0,0,0,5,57,69,86,66
88,72,0,0,0,0,9,60,82,98,68
89,74,0,0,0,0,11,91,97,99,70
90,81,0,0,0,0,30,87,84,88,71
91,72,0,0,0,0,66,91,91,95,74
92,70,0,0,0,0,63,44,67,86,68
93,77,0,0,0,0,48,68,75,50,68
94,77,0,0,0,0,59,74,94,99,71
95,73,0,0,0,0,6,11,40,56,74
96,78,0,0,0,0,21,24,69,86,71
97,71,0,0,0,0,22,24,4,7,74
98,80,0,0,0,0,67,86,95,96,68
99,72,0,0,0,0,17,34,88,97,71
100,78,0,0,0,0,28,33,65,70,75
101,72,0,0,0,0,16,49,95,98,70
102,82,0,0,0,0,29,55,79,98,70
103,78,0,0,0,0,32,75,74,93,73
104,67,0,0,0,0,8,19,46,99,65
105,71,0,0,0,0,26,67,80,61,66
106,72,0,0,0,0,47,86,94,95,66
107,76,0,0,0,0,7,32,60,89,69
108,70,0,0,0,0,37,92,95,99,70
109,74,0,0,0,0,16,20,45,45,67
110,81,0,0,0,0,7,24,56,21,67
111,77,0,0,0,0,58,83,65,50,65
112,76,0,0,0,0,55,78,78,79,64
113,74,0,0,0,0,4,12,51,100,67
114,75,0,0,0,0,13,13,60,59,64
115,80,0,0,0,0,3,16,24,55,64
116,74,0,0,0,0,27,76,91,87,65
117,80,0,0,0,0,25,69,89,92,67
118,73,0,0,0,0,37,77,37,25,72
119,73,0,0,0,0,3,22,53,77,72
120,76,0,0,0,0,11,58,91,96,68
121,73,0,0,0,0,8,8,64,96,72
122,85,0,0,0,0,4,10,26,39,65
123,86,0,0,0,0,4,19,81,83,69
124,76,0,0,0,0,3,47,99,99,71
125,75,0,0,0,0,40,69,72,73,66
126,77,0,0,0,0,29,53,81,96,74
127,79,0,0,0,0,4,14,10,22,63
128,79,0,0,0,0,17,47,47,94,68
129,79,0,0,0,0,32,88,95,96,68
130,80,0,0,0,0,36,62,87,99,64
131,79,0,0,0,0,5,8,34,96,65
132,74,0,0,0,0,12,10,37,53,65
133,76,0,0,0,0,30,81,95,99,68
134,82,0,0,0,0,4,5,20,76,64
135,81,0,0,0,0,6,15,53,69,64
136,83,0,0,0,0,32,70,91,94,71
137,79,0,0,0,0,15,24,8,61,64
138,76,0,0,0,0,2,27,50,97,66
139,81,0,0,0,0,27,54,75,82,70
140,86,0,0,0,0,33,75,92,99,66
141,82,0,0,0,0,8,12,5,21,66
142,76,0,0,0,0,71,60,83,92,70
143,73,0,0,0,0,50,82,95,93,73
144,78,0,0,0,0,9,31,50,92,72
145,82,0,0,0,0,19,43,49,36,70
146,85,0,0,0,0,59,78,92,72,72
147,81,0,0,0,0,7,63,86,97,76
148,78,0,0,0,0,38,72,85,91,69
149,81,0,0,0,0,7,14,82,99,65
150,73,0,0,0,0,4,13,15,7,68
